station_name,latitude,longitude,charging_power,total_slots,occupied_slots
Unity Mall Charging Station Vasai,19.3593,72.8123,60,5,1
Advant IT Park DC Charging Station Noida,28.5007,77.4102,60,11,9
Trimurtys Ariana AC Charging Station,26.8312,75.8663,60,11,4
Nandi Park Apartments,12.8585,77.593,60,11,7
Crowne Plaza Jaipur,26.7797,75.8282,30,5,6
Pendse Garage AC Charging Station,18.1655,72.9929,30,6,9
Hans Resort DC Charging Station Rewari,28.1254,76.6368,50,9,7
Saviruchi Veg DC Charging Station Mysore,12.3847,77.0532,30,9,8
ElectriVA Test Station,28.6539,77.1905,60,7,0
Sarode Motors Ac EV Charging Station Nashik,19.9758,73.776,50,11,7
The Nile AdPod,28.4113,77.051,60,11,8
Hotel Daulat Nikol Fast Charging Station,20.2137,74.041,30,5,8
New Udaan Bhawan AdPod 1,28.553,77.0944,60,8,3
New Udaan Bhawan AdPod 2,28.5537,77.0943,50,11,0
TDPL EV Charging Station 1,26.9159,75.723,30,9,1
Hotel The Executive Inn AC Charging Station,19.7592,74.4763,50,9,6
Hotel Bliss County DC Charging Station,20.8292,74.7485,30,10,4
Savoy Suites Manesar,28.3664,76.9436,60,10,9
MV EV DC Charging Station,19.9883,72.7488,30,5,1
Jamoliwala AC Charging Station,78.0654,30.3886,50,11,2
TDPL EV Charging Station 2,26.8807,75.6143,50,8,1
Bhajan Singh Da Dhabha DC Charging Station,18.7005,73.6933,30,6,5
Hotel Prabhat Palace DC Charging Station,32.9899,74.9255,30,5,0
TSREDCO Test Charging Station,17.4123,78.4598,30,8,8
TSREDCO Test Charging Station 1,17.4125,78.4603,60,7,3
Mehak Garden Charging Station,29.528,75.1325,60,5,7
Savoy Suites Noida,28.5801,77.3152,60,9,1
Savoy Suites Greater Noida,28.4648,77.5084,60,8,8
Hotel Highway King Shahpura DC Charging Station,27.487,76.0523,60,10,1
Aman Hotel Kurukshetra DC Charging Station,30.2059,76.8575,30,7,2
Evershine Tower Jaipur DC Charging Station,26.9121,75.7433,60,9,9
Hotel Shree Veg Solapur DC Charging Station,18.3289,74.7794,60,8,5
Subway Alwar DC Charging Station,28.1967,76.8128,60,9,1
Asli Pappu Dhaba Kosi Kalan DC Charging Station,27.8327,77.4194,50,8,9
140% Veg Gulshan Dhaba Kotwan DC Charging Station,27.8468,77.4082,50,8,5
Synrgy Ebikes Charging Station,19.9705,73.7528,30,9,8
ChargePit eMobility Charging Station,18.5996,73.7809,60,7,5
MESCOM Shivamogga Charging Station 1,13.9419,75.5816,50,10,2
MESCOM Mudigere Charging Station,13.1459,75.6419,50,10,0
Karkala Charging Station,13.2244,74.9802,30,9,2
MESCOM Surathkal Charging Station,12.9875,74.8048,60,8,0
Kaup Charging Station,13.2338,74.7471,60,6,6
Bramavara Charging Station,13.4381,74.7433,60,11,6
Kundapura Charging Station,13.6186,74.6919,30,7,5
Manipal Charging Station,13.3334,74.7884,50,8,6
MESCOM Aldur Charging Station,13.3319,75.7731,60,6,8
Statiq RnD Centre DC Charging Station,28.4997,77.0839,30,6,2
Park Plaza Gurgaon DC Charging Station,28.4597,77.0758,60,5,3
PADMASHREE Charging Station,13.074,75.0025,50,10,6
Monsoon Breeze AdPod,28.3687,76.966,60,7,3
Decathlon Anubhava,13.169102,77.632018,50,6,9
Forum Shantiniketan,12.9892355,77.7279077,60,8,3
Park Square Mall,12.9872999191284,77.7363967895508,30,11,6
GT World Mall,12.9739999771118,77.551399230957,50,5,6
Orion Mall,13.011065,77.554534,60,5,1
Phoenix Market City,18.5619189099244,73.9166807269854,30,7,5
Phoenix Market City,12.9970998764038,77.6962966918945,30,6,2
Patel's Inn,13.0209071,77.5979841,60,5,7
Coco Jaunt 1728 - Anna Nagar,13.0902004241943,80.2174987792969,50,9,0
Infinitea,12.9689998626709,77.6361999511719,30,10,2
The Only Place,12.9730997085571,77.6033020019531,60,11,4
Fab Cafe,12.934100151062,77.5171966552734,30,8,3
The Moonshine Project restaurant Jubilee Hills,17.4141998291016,78.4076995849609,30,9,3
Almond House Banjara Hills,17.4270191,78.4434192,50,6,8
Go Native,12.922504,77.58476,60,10,9
TORQ92,13.057629,77.5871507,30,11,8
AtherSpace Indiranagar,12.9756002426147,77.6411972045898,30,9,4
Royal Airavatha,12.9223003387451,77.4954986572266,60,8,7
Kriyates - Thoraipakkam,12.924971,80.233677,50,8,3
Phoenix Market City - Velachery,12.9914084,80.2143054,60,9,6
Forum Vijaya Mall - Vadapalani,13.049952,80.209499,50,9,9
Ampa Skywalk,13.0734394,80.2214957,50,6,1
AtWorks - Guindy,13.0060668,80.1999835,30,10,1
Cafe Azzure,13.023563,77.635275,30,9,9
Almond House Kukatpally,17.485859,78.39042,30,5,8
Sarath City Capital Mall,17.456842,78.364575,30,9,8
Atherspace Chennai,13.060965,80.248509,30,11,2
Athergrid CP,28.633714,77.221904,60,11,9
The Bangalore Bakery,12.9941754,77.57121,30,7,6
Almond House SD Road,17.441011,78.503158,60,5,7
Chai Kahani - Sainikpuri,17.486819,78.5431269,30,11,2
"Swiss Castle, Vidyanagar",17.400595,78.508078,30,9,0
Bliss Bakery & Cafe,18.4788385,73.9013856,60,10,5
Flip Side,17.4139784,78.3275492,50,9,1
Taj Mahal Hotel,17.3916834,78.4766724,30,7,1
Sai Menaka Commercial Complex,13.098157,77.59673,60,11,6
IDC Kitchen,13.028052,77.572997,30,5,0
Kalinga Veg Gourmet Kitchen,18.5050103,73.8316238,60,9,8
CopaCabana,18.5887678,73.7825231,30,6,2
TamTree,18.5231567,73.8476929,50,10,0
KB's Woodlands,18.525182,73.8758609,50,9,7
"Sangeetha Mobiles, Chandra Layout",12.9607,77.529186,50,10,1
SPR CHENNAI FOOD COURT,13.0610823,80.1519339,60,11,1
VMR Squares,12.9500859,80.2365626,50,6,4
"Chai Kings, Porur",13.0370409,80.1398795,50,11,6
Ather Space Hyderabad,17.452666,78.380343,60,6,4
M's Street,12.9149592,80.1920666,60,10,9
Noma Talkies,17.447469,78.57175,60,5,3
Regenta Central Antarim,23.0331669,72.5568133,60,11,7
"French toast, Panampilly Nagar",9.960854,76.2939207,50,8,9
"French Toast, Kacheripady",9.9878416,76.2827333,30,6,2
Centre square mall,9.9779338,76.2808706,50,9,8
The Food Drama,23.044056,72.5099616,50,11,0
Tea Post - The Desi Cafe,23.04574,72.483755,60,9,2
Smarttron Automations,12.917819,77.64921,60,10,1
Blue Tokai Coffee,18.989356,72.825234,50,10,5
VR Chennai,13.0805465,80.197132,50,5,6
DSL Virtue Mall,17.3998101,78.5551167,30,6,6
Jogo Infinite,9.9447031,76.2925099,50,7,9
Sixth Avenue Cafe,11.2582475,75.7747771,30,7,9
Dr. Cafe,11.2698057,75.8436455,60,6,1
Cafe Kathaa,18.5207781331765,73.8405353264273,30,10,0
"Kumaran Silks, T Nagar",13.0406526,80.232646,30,7,6
Subway Aundh,18.5604818759678,73.8050409881093,50,5,3
"Chai Kings, Sai baba colony",11.0268889,76.9485693,60,7,3
Adani Shantigram,23.1606011,72.5427391,60,11,7
Mugs And Brews - Cafu00e9 Restaurant,11.0809942,76.9911489,60,6,0
"1944 The Hocco Kitchen, Vaishnodevi ",23.1347369,72.541765,60,6,3
Benjamin Bangalee,22.4668437,88.3111551,60,7,5
Richy Rich - Race course,10.9984009,76.9765316,30,7,3
Suba International,19.106207,72.860261,60,9,3
MCGM Parking || Runwal Anthurium,19.1806661685396,72.9468472363647,50,11,8
DLF Chennai,13.0223,80.1749,30,10,2
Kabra Metro One,19.1303012111998,72.8222972342668,30,8,1
Lumber Jack,18.4931152837874,73.8154865931648,60,5,6
AtherSpace Pune,18.5186726,73.8302965,50,6,6
OMAXE Gurgaon Mall,28.4109579,77.042484,30,9,0
MCGM Parking || Club Aquaria,19.2402364,72.8481819,50,5,3
Focus Mall,11.2586377,75.7857046,60,11,2
GM Cycle Parking Stand (Opp to sevai maiyyam),13.117155,80.09997,30,8,5
"Grand Mall, Kochi",10.0244123,76.3089558,30,7,6
Hotel House Inn,28.5952291,77.3822213,30,6,1
Kotak Mahindra Bank,22.7229189,75.8793613,60,7,7
Dosa Magic,22.6959754,75.8422103,60,9,2
The blue roof Cafe,22.689781,75.866902,60,10,5
Oyo Townhouse 118,28.646011,77.296796,30,5,9
Oyo Townhouse 381,28.68902,77.323102,60,5,2
Nukkad Tea Cafe,21.2404762,81.6574975,30,6,6
Aaranyam Restaurant & Cafe ,21.134229,81.7723096,60,10,6
Ather Space Ahmedabad,23.0281973,72.5432892,30,10,1
"Cake Bee, Cantonment",10.8024024,78.6824181,50,6,5
"Cake Bee, Singaram Nagar",10.7967137,78.7563467,30,8,3
Aspire - Step Inn Sector 27,28.4672823,77.0927632,60,8,6
Veg Aroma,20.0120574,73.7461884,50,9,2
The Cobble Street,20.0144062,73.6983448,60,8,1
Brown Bites II,26.901567,75.751926,30,7,9
Lodha Florenza,19.1538114182866,72.8557957193731,60,10,0
"Ather Space, Coimbatore",11.0113482,76.9598159,50,6,9
K Star Chembur,19.052316305376,72.9016358109368,30,6,5
IIT Madras (ICSR),12.9917014,80.232102,50,5,4
"Ather Space, Kochi",9.98014,76.3173646,30,10,3
Treehouse Queens Pearl,28.4493495,77.0315967,30,9,0
Kala Ghoda Cafe,18.9284545096609,72.8320303138997,30,6,7
UB City,12.971406,77.595799,30,5,3
Trichi Kaveri Foods Private Limited,10.8330993,78.6845337,50,6,8
Signature Mall,28.6910142131536,77.486384992674,30,5,8
 Hotel Noida International,28.5967575,77.3282689,30,6,2
Carnival Cinemas Imax,19.0313299,72.8809653,50,10,7
Hotel Parktel ,28.6463665,77.36784004418,30,6,3
Ardas Televentures Pvt Ltd,26.911545,75.74876,60,10,4
Cue Campus,15.360651,75.126774,60,11,4
Sony Center Bellad and Company,15.351334,75.141651,30,6,9
Bellad Towers,15.351171,75.126191,50,9,3
Uma complex,12.9149033,80.1266472,60,7,0
"Coffee King, Adajan",21.1917016,72.7900328,50,5,4
Oyo Townhouse 278 Rohini,28.7328878,77.0841225,60,5,6
Ather Space Jaipur,26.854201,75.794615,60,9,6
"Ather Space, Lajpat Nagar",28.5705131,77.2368888,60,5,5
HiLite Mall,11.248533,75.8334487,60,10,4
Zozoz Pizzeria,17.4306503,78.4020035,30,10,1
"Heart Cup Coffee, Gachibowli",17.4453566,78.3556014,60,7,4
NAKSHATRA PURE VEG,12.9644294,80.2118897,50,7,2
Pepper & Tarragon Club Caffe,17.46377,78.3088,30,6,6
"Ather Space, Trichy",10.8240776,78.684925,60,6,5
Narahari Silk House,17.34763,78.475397,30,8,5
VR Surat,21.1451737,72.7569487,60,8,6
WeFix Automobile,18.648377246379,73.8298662608401,30,9,9
The Vizag Drive In,17.7314545,83.3405749,60,11,2
"Ather Space, Visakhapatnam",17.727627,83.2957312,30,10,0
Hotel Yogi Midtown,19.0640261000026,73.0197154300262,30,6,6
"Breadworld, Jawahar Nagar",9.9721366,76.3020765,30,8,9
"Host The Hospitality Store (Breadworld, Thykoodam)",9.96185111999512,76.31884765625,50,6,1
"Breadworld, Mavelipuram",10.0231762,76.3411644,30,6,9
"Breadworld, Petta",9.9449301,76.3354211,50,8,3
"Ather Space, Kozhikode",11.264453,75.7773662,30,11,9
AtherSpace JP Nagar,12.9062039682694,77.5908095423095,30,10,3
Kohinoor MCGM parking,19.0246088948704,72.842820210728,60,5,6
AtherGrid - Bhavsar,19.9782307026474,73.7468528059045,50,10,8
Bhavsar's AtherGrid 2,19.9714488737097,73.7559054108409,60,6,8
BMC Parking Runwal Greens,19.1593952,72.945112,60,8,8
BMC Market Bhandup ,19.1447758224472,72.9371466284051,50,10,7
Trichy Sarathas,10.8267085,78.6959116,60,8,3
"Ather space, Indore",22.7194463,75.884181,60,5,8
DISHKO Eatery,8.4997772,76.9542647,50,8,8
Charminar Chowrasta Cafe,17.8000838,83.3473927,60,11,1
Best Western Ramachandra Hotel,17.6861805,83.2065285,50,6,1
Cygnett Inn Ramachandra,17.6851429,83.1578664,30,6,5
Moondru Kambam Nellai Muthu Vilas Sweets & Bakes,10.9611662,76.954832,60,10,0
"CakeBee, Sulur",11.024978,77.1667265,50,11,3
Tiruppur Sree Annapoorna,11.1750315,77.2634385,60,9,7
Aastha Talkies,22.7431448,75.8841123,50,5,6
Ather Space Nashik,19.9944454848697,73.764436759524,60,8,2
"Just Loaf, Kozhikode",11.2541077,75.7712783,30,11,3
"Just Loaf, Perinthalmanna",10.9882867,76.2250874,30,6,6
"Hocco Eatery, Vastral",22.9992398,72.6594584,30,8,5
Prestige Falcon Towers,12.971272,77.614552,60,10,1
Reliance Digital Kamlanagar,28.6839369,77.2022968,30,11,0
Food Sixteen Restaurant,28.7169145,77.168538,60,5,8
Abhay Graphics II,18.6532425324259,73.8034013253093,60,5,6
Miramar Residency - Blive,15.4845196013223,73.809121797395,50,10,7
Old Goa Residency- Blive,15.5000488654027,73.9141273127392,50,5,6
Eham Digital,11.2648469,75.8109713,50,8,5
Darshan super market,12.8291702,80.2298531,60,11,3
Mall of Mysore,12.298036,76.663958,30,11,6
"Cafe Coffee Day, Gokulam Road",12.326612,76.626866,30,9,9
CarTuneZ,13.0416621313573,80.1264474028141,50,7,5
Shree Shanthi's the garment shop,12.9966632,80.2517792,60,7,9
The Smith's Cafe & bakery,13.125599,80.2241501,30,5,5
Sri Murugan Stores,12.9056714,80.1421391,50,11,0
Firewood Restaurant,26.8898540600064,75.8089775422449,30,10,5
Oyo Silverkey 42750,28.434959,77.0442743,60,7,3
Amrit Residency,28.5184277,77.0719022,50,5,5
"Cafe coffee day, Kazhakootam, Trivandrum",8.549333,76.877257,50,7,5
Peep Kitchen ,15.4701676,73.8261271,50,7,3
Blive HO,15.4853333,73.8135871,50,6,2
Karkhana - The Food Garage,21.1889342,81.7015232,60,5,4
Jyoti Guest House,26.8433189,75.8037396,50,6,2
Xperia,23.1168523,72.6288522,50,10,5
Ather Space - Gujranwala Town,28.6990084,77.1833274,30,8,3
Navneet Institute,23.040249,72.6307112,50,11,6
Shri Laxmi Kedar Jewellers,20.0052029021044,73.791297380718,30,6,8
The Emerald Resort,18.7077154040181,73.6822930730169,30,8,4
Inox Bund Garden Road,18.5267515,73.8779382,30,7,9
Black Spate,26.963612,75.7810224,30,11,9
Barista,18.4845962800607,73.8496819997945,60,9,9
Precision Path Lab,26.8547202,75.7731708,60,11,0
Ather Space Goa,15.5230657,73.825913,60,6,6
Ather test ride centre,17.4435458,78.4798274,60,9,3
Prestige Khoday Tower,12.982728,77.594179,30,7,0
Prestige Saleh Ahmed,12.980553,77.603318,30,5,6
Mama Panda,16.4992397,80.6481963,30,5,7
AtherSpace Mysore,12.325053,76.611337,60,8,6
Bamboo & Biryani,16.5009139,80.6472927,60,5,9
Lodha Venezia CPL,18.9917205,72.841513,60,9,9
Cafe Peter,18.5105106,73.7819022,60,9,3
Throttle Shrottle Moto Cafe,28.428213,77.1405458,50,6,3
Inox R21,23.2316208,72.6682058,60,5,5
Inox R16,23.2310524,72.648583,50,10,8
Acre Bengaluru,13.189056,77.644524,60,7,1
AtherSpace Hubli,15.387875,75.1016179,30,7,4
Antares Restaurant and Beach Club,15.5940487274399,73.7349023341238,60,5,0
The Wood Apple Cafe,26.7286006,88.4163575,50,8,0
The Cindrella Hotel,26.7555785,88.4418232,60,5,5
Cafe Cornucopia,12.316689,76.603223,30,10,6
Ather Space Raipur,21.243932,81.6347283,30,10,2
Ather Space - Janakpuri,28.6255909,77.1009332,50,10,4
Ather Space Surat,21.1529496,72.778545,50,5,3
Ather Space - Lalbagh,26.8458895,80.9379184,60,9,9
Magenta House - Mumbai,19.0687045429028,73.0229869206999,60,9,9
"Ather Space, Trivandrum",8.5145049,76.9437173,60,10,5
"Ather space, Guindy, Chennai",13.0124771297175,80.2206032896631,50,7,0
Ranthal Gardens Restaurant,8.45477423944579,77.0024490353778,30,11,4
Kalikkalam Sports,8.53396462982223,76.8807341186971,30,8,4
Ather Space Nagole,17.377497,78.5580849,30,5,2
MGS Tata Autofab,26.8979557,80.9664589,60,11,1
The Hazelnut Factory,26.8727547,80.9407119,30,10,6
"The Hazelnut Factory, Alambagh",26.7991124,80.8982589,30,5,0
Woods Cafe Indira Priyadarshani Park,28.6749316,77.3982382,60,7,6
Ansal Plaza Mall,28.4646154,77.5080343,50,9,5
MR Hypermarket,11.296198,75.8307817,60,8,7
Ather Space Siliguri,26.7321074,88.4322712,30,10,1
Mitraa Super Market,17.799256,83.210797,60,11,8
Patanjali Mega Store Sakkardara,21.129812213883,79.1148607177335,50,8,3
Patanjali Store Wardhaman Nagar,21.148294,79.128434,50,8,7
"Throttle Shrottle Moto Cafe, Noida",28.5123936,77.3743113,30,7,2
"Sangeetha Mobiles, HBR Layout",13.025618,77.629122,60,8,8
Hyatt Raipur,21.239994,81.6840898,50,8,6
Vasant oasis ,19.1146146,72.8840941,60,8,1
NMR Enclave,12.942047,77.631059,60,8,0
Cafe Labasa Goa,15.2251264,73.9795328,30,7,5
The Coffee Stories,18.4879225398295,73.8727627039089,60,7,3
"Sulaimani Club, Kottakkal",10.9841315056431,75.997859110154,30,10,7
Shree Purohit Thali ,19.9615119,73.8272912,30,10,3
Morning Star Car Accessories,15.5706252229647,73.7915868619433,50,11,7
"Magenta, Hosur Road",12.876703,77.646505,50,10,1
"OFFROAD, Motorcycle Accessories Shop",8.5513563,76.9726234,60,6,2
"The Chocolate Room, Bangalore",13.022915,77.639338,50,8,5
AtherSpace Nagpur,21.1393999805338,79.0604764831562,60,8,3
Xavier Institute of Engineering,19.0452082935871,72.8415417466136,60,11,7
Purnima Sweet's,19.9962790389959,73.8033591842543,60,8,3
"CADD Centre, RK Salai",13.044485,80.268708,50,6,5
"Adyar Ananda Bhavan, Navakari | Zeon",10.8556755,76.862332,60,6,2
Lakshmi Pazhamudir And Supermarket,11.138138477319,76.9407310322839,50,5,7
Decathlon Bannerghatta,12.863595,77.590927,50,9,1
"MR Hyper Market, Wayanad Road",11.3185163,75.8842814,30,11,5
KR Journey Planners,21.1483732,72.7654739,30,10,9
KR Journey,21.2126944261511,72.8451179602812,50,8,4
Shiven Satellite Vision,15.2697635073183,73.9549504486853,30,9,5
Detailing Bull,28.4195244,77.0885144,60,7,0
R R Sales,26.1763362,91.7404708,30,9,5
"Vishnu Tradex, Shreekunj Elegance",23.0735526,72.520875,60,7,1
Naksh Auto World,28.6635603,77.3740057,50,10,8
Royal Global University,26.112203,91.7241576,60,9,7
Loom Solar Warehouse,28.3520623,77.3007942,50,9,2
"Ather Space, Guwahati",26.172606,91.7293442,60,11,8
Guy Car  Steamer,12.904089,77.662251,60,9,1
AtherSpace Belgaum,15.868772,74.487863,30,9,5
Ather Service Centre,26.170766,91.7608176,30,10,4
Ather Space Vijayawada,16.5007264,80.6574292,30,11,9
Turf Trident,13.1221926,80.1890017,30,8,5
Ather Space Tirupati,13.6226445,79.414697,30,11,3
Area 51 - The cafu00e9 hideout,17.8083501,83.3888006,60,9,1
Ather Space  Aurangabad,19.871912330989,75.3251880766865,50,7,4
"Ather space, Malappuram",11.0522217,76.0753978,30,5,2
"Ather Space, Tirur",10.9235812,75.9131205,50,5,4
Ather Space Kolhapur,16.7075794321683,74.2510693844606,50,11,6
AtherSpace Rajajinagar,12.982706,77.560699,50,8,2
"Radisson Resort, ECR",12.6238102,80.1947665,50,11,6
Nikshan Electronics,11.868744605859,75.3660221268055,50,10,2
"E Planet, Thalassery",11.7455443615496,75.4950197030621,50,9,5
Oyo Soho,28.58066,77.37497,50,9,1
M R A Restaurant,12.0256266201313,75.367177336021,30,11,7
"AIMA Charging Station, Karinganad",10.8878,76.189669,50,5,6
Kekiz Malleswaram,13.008305,77.571179,60,5,5
Muthiah Towers,10.799797,78.6807052,60,5,0
"Chai Point, Bellandur",12.922427,77.668422,50,7,2
HOTEL REDWINGS CASTLE,18.9945351530371,73.1151324189656,30,9,5
Radisson Bengaluru City Center,12.976339,77.619717,30,11,2
Ather Space - Dehradun,30.3382561,8.0584541,30,8,2
Mealodroma,28.6486023,77.1147014,50,7,8
Hotel Om Navratna,18.9014249045997,73.2365788533079,60,10,9
Ather Space Mangalore,12.8785935,74.8513216,60,8,4
Ather Space Kannur,11.874322,75.3872,60,7,2
"Ather Space, Thrissur",10.54281,76.184562,30,10,4
Hitech Motors,13.6292765,79.4619883,50,10,4
"Ather Space, Palakkad",10.770167,76.637861,50,5,5
Cashew Tree ,15.5162506,73.7684465,30,10,6
MMA Matrix Gym,16.6936726519418,74.2410299261698,50,5,6
Akki's Bistro,16.6856931,74.2084223,50,6,7
Roy ka rasoi,26.7055489,88.4380447,30,8,4
Hotel Kuppana,13.648073,79.446494,50,10,4
Guru Sweets & Snacks,26.7618706,88.3388182,60,6,8
Hotel Rasraj Parking Zone,18.6509966955593,72.8740709203267,50,10,3
Crazy Coffee,26.8838799908114,75.7397918152921,60,5,5
Sultan of Flavours Restaurant,10.7672515526727,76.6603123172791,30,6,4
Kalanthans Cafe,10.0026011738437,76.3040071197043,60,5,6
Devaragam Hotel,10.595564727206,76.0443370352623,50,11,4
Ather Space Thane,19.1981177009338,72.9674150562047,60,6,7
Irani Chai,12.91371,77.644164,60,7,7
"BESCOM,  KR Circle",12.9757032,77.5877251,50,10,7
"Ather Space, Kollam",8.89921411695274,76.6129967442303,30,9,3
"Naattarasan, Urapakkam",12.8570595,80.0694857,60,9,4
Hungry Hippo,17.7407038627437,83.311685815344,60,5,4
F3 Drive-in,17.5173192,78.3188293,30,9,6
"IOCL - COCO Niti Marg, Chanakyapuri",28.599629,77.195806,30,6,1
"SNEH DHABA, NH 1 Ganaur",29.157569,77.035833,50,5,5
"Sara Automobile, Dobhi",24.525355,84.932182,50,9,5
"GUGNANI AUTOCARS, Pratap Nagari",20.40517,85.879782,60,9,1
"Varenyam Motor Car, Industrial Area",23.259006,77.456769,30,6,7
"Jaika Motors, Civil Lines",21.155667,79.078708,60,9,1
"IOCL Kini Causway, Bandra",19.051601,72.838011,60,10,6
"IOCL Hundred Percent Filling & Service Station, Dwarka",28.578641,77.05962,50,7,0
"Adisakti Motors, Davangere",14.441957,75.95206,30,10,2
"True Sai Motors, Avaragere",12.5306064,78.2375165,30,11,2
"True Sai Motors, Narasothipatti",11.682985,78.1260402,30,11,7
"Vikarsh Nano technology, Dhangarwadi",18.11289,73.98985,60,7,2
"SR Tranzcars, Saibaba Koil",11.022849,76.951635,50,7,9
"Lakshmi Motors, Ambattur",13.0883447,80.1704698,50,7,5
"Lakshmi Motors, Velachery",13.0080236,80.22165,30,8,1
"Lilium Park, SH 44",19.26433634,74.82719974,50,10,5
"Oberai Motors,  ISBT Rd",30.289739,77.998788,60,9,5
"Ashok Auto Sales, Civil Lines",27.200798,78.008796,30,10,5
"IOCL - MC2, Industrial Area II",30.69649,76.79662,60,10,8
